Domain ID,Annotation,Matched Members,Matched Count,Raw Enrichment P-value,Raw Enrichment Q-value,Raw Depletion P-value,Raw Depletion Q-value,Domain Enrichment P-value,Domain Enrichment Q-value,Domain Depletion P-value,Domain Depletion Q-value
-1,pyridine nucleotide biosynthetic process,,0,0.007,0.8004285714285714,0.789,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cellular response to osmotic stress,,0,0.013,0.7640454545454545,0.703,0.9583052714398111,1.0,1.0,1.0,1.0
3,positive regulation of translational fidelity,CTK1;CTK2;CTK3;GCD11;HPM1;RPS2;RPS9B,7,0.002,0.21550000000000002,0.888,0.9583052714398111,0.002,0.21550000000000002,1.0,1.0
-1,sno(s)RNA 3'-end processing,,0,0.001,0.03402631578947368,0.615,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of carbohydrate catabolic process,,0,1.0,1.0,0.896,0.9583052714398111,1.0,1.0,1.0,1.0
20,mRNA 5'-splice site recognition,PRP28;PRP39;PRP42;PRP8;PRP9;YHC1,6,0.001,0.32325,0.887,0.9583052714398111,0.001,0.32325,1.0,1.0
-1,actin polymerization or depolymerization,,0,0.001,0.07183333333333333,0.708,0.9583052714398111,1.0,1.0,1.0,1.0
-1,actomyosin contractile ring contraction,,0,0.003,1.0,0.874,0.9583052714398111,1.0,1.0,1.0,1.0
-1,'de novo' post-translational protein folding,,0,0.001,0.039181818181818186,0.673,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of growth,,0,0.005,0.7870434782608695,0.704,0.9583052714398111,1.0,1.0,1.0,1.0
-1,plasma membrane organization,,0,1.0,1.0,0.881,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of mitotic cytokinesis,,0,0.007,0.7688108108108108,0.771,0.9583052714398111,1.0,1.0,1.0,1.0
-1,proton motive force-driven ATP synthesis,,0,0.001,0.07605882352941176,0.76,0.9583052714398111,1.0,1.0,1.0,1.0
-1,aminoglycan metabolic process,,0,0.001,0.04973076923076923,0.749,0.9583052714398111,1.0,1.0,1.0,1.0
20,spliceosomal complex assembly,BRR1;CDC40;CLF1;CUS1;EXO84;HSH155;IST3;ISY1;LUC7;MUD2;NAM8;PRP11;PRP28;PRP39;PRP42;PRP8;PRP9;RDS3;RSE1;SAD1;SKY1;SPT5;YHC1,23,0.001,0.18471428571428572,0.65,0.9583052714398111,0.001,0.18471428571428572,1.0,1.0
-1,regulation of growth of unicellular organism as a thread of attached cells,,0,0.003,0.484875,0.587,0.9583052714398111,1.0,1.0,1.0,1.0
-1,terpenoid metabolic process,,0,0.06,1.0,0.915,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein urmylation,,0,0.003,0.8620000000000001,0.88,0.9583052714398111,1.0,1.0,1.0,1.0
34,purine-containing compound catabolic process,AAH1;CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;GUD1;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SAH1;SCS3;SMN1;TDH1;TDH2;TDH3;TPI1;URH1,29,0.001,0.039181818181818186,0.578,0.9583052714398111,0.001,0.039181818181818186,0.981,1.0
-1,positive regulation of catalytic activity,,0,0.003,0.8620000000000001,0.864,0.9583052714398111,1.0,1.0,1.0,1.0
-1,response to heat,,0,0.001,0.039181818181818186,0.585,0.9583052714398111,1.0,1.0,1.0,1.0
-1,mitochondrial RNA metabolic process,,0,0.018,1.0,0.59,0.9583052714398111,1.0,1.0,1.0,1.0
-1,negative regulation of reproductive process,,0,0.009,0.7640454545454545,0.654,0.9583052714398111,1.0,1.0,1.0,1.0
-1,aromatic amino acid metabolic process,,0,0.014,1.0,0.675,0.9583052714398111,1.0,1.0,1.0,1.0
-1,purine ribonucleoside biosynthetic process,,0,1.0,1.0,0.926,0.9583052714398111,1.0,1.0,1.0,1.0
-1,peroxisomal membrane transport,,0,0.118,1.0,0.706,0.9583052714398111,1.0,1.0,1.0,1.0
-1,monosaccharide biosynthetic process,,0,0.001,0.039181818181818186,0.652,0.9583052714398111,1.0,1.0,1.0,1.0
-1,catabolite repression,,0,0.111,1.0,0.809,0.9583052714398111,1.0,1.0,1.0,1.0
46,mRNA export from nucleus in response to heat stress,GLE2;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84,8,0.001,0.07183333333333333,0.861,0.9583052714398111,0.001,0.07183333333333333,1.0,1.0
-1,negative regulation of actin filament polymerization,,0,0.004,0.6465,0.822,0.9583052714398111,1.0,1.0,1.0,1.0
-1,biogenic amine biosynthetic process,,0,0.003,1.0,0.869,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of mitotic nuclear division,,0,0.001,0.10775000000000001,0.622,0.9583052714398111,1.0,1.0,1.0,1.0
-1,pyrimidine ribonucleoside triphosphate biosynthetic process,,0,0.011,1.0,0.891,0.9583052714398111,1.0,1.0,1.0,1.0
-1,polysaccharide catabolic process,,0,1.0,1.0,0.791,0.9583052714398111,1.0,1.0,1.0,1.0
11,ribonucleoside triphosphate biosynthetic process,ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;CPA2;DAS2;IMD2;IMD3;IMD4;TIM11;URA2;URA7;URK1;VMA1;YNK1,25,0.001,0.07605882352941176,0.635,0.9583052714398111,0.001,0.07605882352941176,1.0,1.0
-1,negative regulation of organelle assembly,,0,0.003,0.8620000000000001,0.914,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein insertion into membrane,,0,0.017,1.0,0.689,0.9583052714398111,1.0,1.0,1.0,1.0
24,nucleosome disassembly,ARP7;ARP9;ASF1;HTL1;LDB7;NAP1;NPL6;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;STH1;YTA7,20,0.001,0.18471428571428572,0.704,0.9583052714398111,0.001,0.18471428571428572,0.976,1.0
-1,negative regulation of transcription by RNA polymerase I,,0,0.001,0.11754545454545455,0.849,0.9583052714398111,1.0,1.0,1.0,1.0
-1,protein acylation,,0,0.001,0.11754545454545455,0.798,0.9583052714398111,1.0,1.0,1.0,1.0
-1,cellular response to amino acid starvation,,0,0.001,0.43100000000000005,0.782,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of binding,,0,0.024,1.0,0.758,0.9583052714398111,1.0,1.0,1.0,1.0
-1,positive regulation of small molecule metabolic process,,0,0.005,1.0,0.885,0.9583052714398111,1.0,1.0,1.0,1.0
-1,regulation of mitotic spindle pole body separation,,0,0.01,0.9293437499999999,0.858,0.9583052714398111,1.0,1.0,1.0,1.0
